,가구,1040,2855,4847,NNBC,*,F,가구.1,*.1,*.2,*.3,*.4
62,그램분자,1121,2886,4589,NNBC,*,F,그램분자,*,*,*,*
63,그램분자량,1122,3248,4589,NNBC,*,T,그램분자량,*,*,*,*
64,그램분자부피,1123,2887,4589,NNBC,*,F,그램분자부피,*,*,*,*
65,그램센티미터,1124,2888,4589,NNBC,*,F,그램센티미터,*,*,*,*
66,그램원자,1125,2889,4589,NNBC,*,F,그램원자,*,*,*,*
67,그램원자량,1126,3249,4589,NNBC,*,T,그램원자량,*,*,*,*
68,그램이온,1127,3250,4589,NNBC,*,T,그램이온,*,*,*,*
69,그램중,1128,3251,4589,NNBC,*,T,그램중,*,*,*,*
70,그램칼로리,1129,2890,4589,NNBC,*,F,그램칼로리,*,*,*,*
71,그램톤,1130,3252,4589,NNBC,*,T,그램톤,*,*,*,*
72,그램화학식량,1131,3253,4589,NNBC,*,T,그램화학식량,*,*,*,*
73,그레이,1132,2891,4464,NNBC,*,F,그레이,*,*,*,*
74,그레이드,1133,2892,4595,NNBC,*,F,그레이드,*,*,*,*
75,그레인,1134,3254,4589,NNBC,*,T,그레인,*,*,*,*
76,그로셴,1135,3255,4589,NNBC,*,T,그로셴,*,*,*,*
77,그로스,1136,2893,4595,NNBC,*,F,그로스,*,*,*,*
78,그로스톤,1137,3256,4589,NNBC,*,T,그로스톤,*,*,*,*
79,그루,1138,2894,3817,NNBC,*,F,그루,*,*,*,*
80,그룹,1139,3257,5600,NNBC,*,T,그룹,*,*,*,*
81,그릇,1140,3258,5033,NNBC,*,T,그릇,*,*,*,*
82,근,1141,3259,6806,NNBC,*,T,근,*,*,*,*
83,근쭝,1142,3260,4589,NNBC,*,T,근쭝,*,*,*,*
84,급,1143,3261,7552,NNBC,*,T,급,*,*,*,*
85,기,1144,2895,6741,NNBC,*,F,기,*,*,*,*
86,기가바이트,1145,2896,4419,NNBC,*,F,기가바이트,*,*,*,*
87,기가전자볼트,1146,2897,4589,NNBC,*,F,기가전자볼트,*,*,*,*
88,기니,1147,2898,4592,NNBC,*,F,기니,*,*,*,*
89,길,1151,3262,5945,NNBC,*,T,길,*,*,*,*
90,길더,1153,2899,4589,NNBC,*,F,길더,*,*,*,*
91,길버트,1154,2900,4589,NNBC,*,F,길버트,*,*,*,*
92,까벨트,1157,2901,4589,NNBC,*,F,까벨트,*,*,*,*
93,꼭지,1161,2902,4328,NNBC,*,F,꼭지,*,*,*,*
94,꾸러미,1162,2903,4605,NNBC,*,F,꾸러미,*,*,*,*
95,끗,1163,3263,4808,NNBC,*,T,끗,*,*,*,*
96,끝,1164,3264,4854,NNBC,*,T,끝,*,*,*,*
97,끼,1165,2904,5396,NNBC,*,F,끼,*,*,*,*
98,나노미터,1167,2905,4589,NNBC,*,F,나노미터,*,*,*,*
99,나노세컨드,1168,2906,4589,NNBC,*,F,나노세컨드,*,*,*,*
100,나노앰프,1169,2907,4589,NNBC,*,F,나노앰프,*,*,*,*
101,나노초,1170,2908,4589,NNBC,*,F,나노초,*,*,*,*
102,냄비,1171,2909,4637,NNBC,*,F,냄비,*,*,*,*
103,냉동톤,1172,3265,4589,NNBC,*,T,냉동톤,*,*,*,*
104,냥,1173,3266,5032,NNBC,*,T,냥,*,*,*,*
105,냥쭝,1174,3267,4589,NNBC,*,T,냥쭝,*,*,*,*
106,네퍼,1175,2910,4589,NNBC,*,F,네퍼,*,*,*,*
107,년,1176,3268,4541,NNBC,*,T,년,*,*,*,*
108,노르말,1180,3269,4589,NNBC,*,T,노르말,*,*,*,*
109,노리,1181,2911,5151,NNBC,*,F,노리,*,*,*,*
110,노이,1182,2912,4875,NNBC,*,F,노이,*,*,*,*
111,노트,1183,2913,5143,NNBC,*,F,노트,*,*,*,*
112,뉴턴,1184,3270,4606,NNBC,*,T,뉴턴,*,*,*,*
113,니트,1185,2914,4589,NNBC,*,F,니트,*,*,*,*
114,님,1186,3271,5978,NNBC,*,T,님,*,*,*,*
115,닢,1187,3272,4589,NNBC,*,T,닢,*,*,*,*
116,다릭,1188,3273,4589,NNBC,*,T,다릭,*,*,*,*
117,다발,1190,3274,4148,NNBC,*,T,다발,*,*,*,*
118,다스,1191,2915,4687,NNBC,*,F,다스,*,*,*,*
119,다인,1192,3275,4724,NNBC,*,T,다인,*,*,*,*
120,다임,1193,3276,4631,NNBC,*,T,다임,*,*,*,*
121,단,1194,3277,7451,NNBC,*,T,단,*,*,*,*
122,단계,1195,2916,4704,NNBC,*,F,단계,*,*,*,*
123,단락,1196,3278,4631,NNBC,*,T,단락,*,*,*,*
124,단보,1197,2917,4589,NNBC,*,F,단보,*,*,*,*
125,단원,1198,3279,3885,NNBC,*,T,단원,*,*,*,*
126,단지,1199,2918,4770,NNBC,*,F,단지,*,*,*,*
127,달,1200,3280,6279,NNBC,*,T,달,*,*,*,*
128,달란트,1201,2919,4589,NNBC,*,F,달란트,*,*,*,*
129,달러,1202,2920,3602,NNBC,*,F,달러,*,*,*,*
130,달톤,1203,3281,4589,NNBC,*,T,달톤,*,*,*,*
131,담불,1204,3282,4589,NNBC,*,T,담불,*,*,*,*
132,대,1205,2921,4748,NNBC,*,F,대,*,*,*,*
133,대괵,1206,3283,4589,NNBC,*,T,대괵,*,*,*,*
134,덩어리,1208,2922,4714,NNBC,*,F,덩어리,*,*,*,*
135,덩이,1209,2923,4464,NNBC,*,F,덩이,*,*,*,*
136,데나리온,1210,3284,4589,NNBC,*,T,데나리온,*,*,*,*
137,데니어,1211,2924,4589,NNBC,*,F,데니어,*,*,*,*
138,데시그램,1212,3285,3000,NNBC,*,T,데시그램,*,*,*,*
139,데시리터,1213,2925,4589,NNBC,*,F,데시리터,*,*,*,*
140,데시미터,1214,2926,4589,NNBC,*,F,데시미터,*,*,*,*
141,데시벨,1215,3286,4589,NNBC,*,T,데시벨,*,*,*,*
142,데시아르,1216,2927,4589,NNBC,*,F,데시아르,*,*,*,*
143,데카그램,1217,3287,3000,NNBC,*,T,데카그램,*,*,*,*
144,데카르,1218,2928,4742,NNBC,*,F,데카르,*,*,*,*
145,데카리터,1219,2929,4589,NNBC,*,F,데카리터,*,*,*,*
146,데카미터,1220,2930,4589,NNBC,*,F,데카미터,*,*,*,*
147,도,1221,2931,6617,NNBC,*,F,도,*,*,*,*
148,도브슨단위,1222,2932,4589,NNBC,*,F,도브슨단위,*,*,*,*
149,도일,1223,3288,4991,NNBC,*,T,도일,*,*,*,*
150,돈,1224,3289,5724,NNBC,*,T,돈,*,*,*,*
151,돈쭝,1225,3290,4589,NNBC,*,T,돈쭝,*,*,*,*
152,돌,1226,3291,6352,NNBC,*,T,돌,*,*,*,*
153,돌기,1227,2933,4589,NNBC,*,F,돌기,*,*,*,*
154,돌이,1228,2934,5590,NNBC,*,F,돌이,*,*,*,*
155,동,1230,3292,6567,NNBC,*,T,동,*,*,*,*
156,동무니,1231,2935,4589,NNBC,*,F,동무니,*,*,*,*
157,동이,1232,2936,5407,NNBC,*,F,동이,*,*,*,*
158,되,1233,2937,5267,NNBC,*,F,되,*,*,*,*
159,되지기,1234,2938,4589,NNBC,*,F,되지기,*,*,*,*
160,두,1235,2939,6472,NNBC,*,F,두,*,*,*,*
161,두름,1236,3293,4589,NNBC,*,T,두름,*,*,*,*
162,등,1237,3294,4744,NNBC,*,T,등,*,*,*,*
163,등급,1238,3295,4292,NNBC,*,T,등급,*,*,*,*
164,등분,1239,3296,4591,NNBC,*,T,등분,*,*,*,*
165,디그리데이,1240,2940,4589,NNBC,*,F,디그리데이,*,*,*,*
166,디나르,1241,2941,4589,NNBC,*,F,디나르,*,*,*,*
167,디르함,1242,3297,4589,NNBC,*,T,디르함,*,*,*,*
168,디바이,1243,2942,4589,NNBC,*,F,디바이,*,*,*,*
169,디옵터,1244,2943,4589,NNBC,*,F,디옵터,*,*,*,*
170,디피아이,1245,2944,4589,NNBC,*,F,디피아이,*,*,*,*
171,디피에스,1246,2945,4589,NNBC,*,F,디피에스,*,*,*,*
172,땀,1247,3298,4703,NNBC,*,T,땀,*,*,*,*
173,람다,1248,2946,4640,NNBC,*,F,람다,*,*,*,*
174,래드,1249,2947,4596,NNBC,*,F,래드,*,*,*,*
175,랜드,1250,2948,5072,NNBC,*,F,랜드,*,*,*,*
176,량,1251,3299,5736,NNBC,*,T,량,*,*,*,*
177,러더퍼드,1252,2949,4589,NNBC,*,F,러더퍼드,*,*,*,*
178,럭스,1253,2950,4628,NNBC,*,F,럭스,*,*,*,*
179,럼,1254,3300,5560,NNBC,*,T,럼,*,*,*,*
180,레우,1255,2951,4589,NNBC,*,F,레우,*,*,*,*
181,레프,1256,2952,4631,NNBC,*,F,레프,*,*,*,*
182,렌텐마르크,1257,2953,4589,NNBC,*,F,렌텐마르크,*,*,*,*
183,렘,1258,3301,4836,NNBC,*,T,렘,*,*,*,*
184,렙,1259,3302,4589,NNBC,*,T,렙,*,*,*,*
185,령,1260,3303,5810,NNBC,*,T,령,*,*,*,*
186,로드,1261,2954,4755,NNBC,*,F,로드,*,*,*,*
187,뢴트겐,1262,3304,4589,NNBC,*,T,뢴트겐,*,*,*,*
188,루멘,1263,3305,4589,NNBC,*,T,루멘,*,*,*,*
189,루멘시,1264,2955,4589,NNBC,*,F,루멘시,*,*,*,*
190,루멘초,1265,2956,4589,NNBC,*,F,루멘초,*,*,*,*
191,루블,1266,3306,4589,NNBC,*,T,루블,*,*,*,*
192,루피,1267,2957,4639,NNBC,*,F,루피,*,*,*,*
193,루피아,1268,2958,4589,NNBC,*,F,루피아,*,*,*,*
194,리,1269,2959,7201,NNBC,*,F,리,*,*,*,*
195,리라,1270,2960,6267,NNBC,*,F,리라,*,*,*,*
196,리브르,1271,2961,4589,NNBC,*,F,리브르,*,*,*,*
197,리알,1272,3307,4591,NNBC,*,T,리알,*,*,*,*
198,리얄,1273,3308,4589,NNBC,*,T,리얄,*,*,*,*
199,리엘,1274,3309,4617,NNBC,*,T,리엘,*,*,*,*
200,리터,1275,2962,4605,NNBC,*,F,리터,*,*,*,*
201,릴,1277,3310,5545,NNBC,*,T,릴,*,*,*,*
202,림,1278,3311,6235,NNBC,*,T,림,*,*,*,*
203,립,1279,3312,6157,NNBC,*,T,립,*,*,*,*
204,링기트,1280,2963,4589,NNBC,*,F,링기트,*,*,*,*
205,링크,1281,2964,4603,NNBC,*,F,링크,*,*,*,*
206,마,1282,2965,7174,NNBC,*,F,마,*,*,*,*
207,마당,1283,3313,5487,NNBC,*,T,마당,*,*,*,*
208,마디,1284,2966,4791,NNBC,*,F,마디,*,*,*,*
209,마력,1285,3314,4677,NNBC,*,T,마력,*,*,*,*
210,마력시,1286,2967,4589,NNBC,*,F,마력시,*,*,*,*
211,마르카,1287,2968,4589,NNBC,*,F,마르카,*,*,*,*
212,마르크,1288,2969,4949,NNBC,*,F,마르크,*,*,*,*
213,마리,1289,2970,3771,NNBC,*,F,마리,*,*,*,*
214,마이크로그램,1291,3315,3000,NNBC,*,T,마이크로그램,*,*,*,*
215,마이크로마이크로퀴리,1292,2971,4589,NNBC,*,F,마이크로마이크로퀴리,*,*,*,*
216,마이크로마이크로패럿,1293,3316,4589,NNBC,*,T,마이크로마이크로패럿,*,*,*,*
217,마이크로미크론,1294,3317,4589,NNBC,*,T,마이크로미크론,*,*,*,*
218,마이크로미터,1295,2972,4589,NNBC,*,F,마이크로미터,*,*,*,*
219,마이크로세컨드,1296,2973,4589,NNBC,*,F,마이크로세컨드,*,*,*,*
220,마이크로옴,1297,3318,4589,NNBC,*,T,마이크로옴,*,*,*,*
221,마이크로초,1298,2974,4589,NNBC,*,F,마이크로초,*,*,*,*
222,마이크로퀴리,1299,2975,4589,NNBC,*,F,마이크로퀴리,*,*,*,*
223,마이크로패럿,1300,3319,4589,NNBC,*,T,마이크로패럿,*,*,*,*
224,마일,1301,3320,4437,NNBC,*,T,마일,*,*,*,*
225,마장,1302,3321,4678,NNBC,*,T,마장,*,*,*,*
226,마지기,1303,2976,4589,NNBC,*,F,마지기,*,*,*,*
227,마하,1304,2977,4649,NNBC,*,F,마하,*,*,*,*
228,마하수,1305,2978,4589,NNBC,*,F,마하수,*,*,*,*
229,마헤,1306,2979,4589,NNBC,*,F,마헤,*,*,*,*
230,막,1307,3322,5234,NNBC,*,T,막,*,*,*,*
231,말,1308,3323,5110,NNBC,*,T,말,*,*,*,*
232,매,1309,2980,6857,NNBC,*,F,매,*,*,*,*
233,맥스웰,1310,3324,4589,NNBC,*,T,맥스웰,*,*,*,*
234,메가다인,1312,3325,4589,NNBC,*,T,메가다인,*,*,*,*
235,메가데스,1313,2981,4589,NNBC,*,F,메가데스,*,*,*,*
236,메가바,1314,2982,4589,NNBC,*,F,메가바,*,*,*,*
237,메가바이트,1315,2983,4589,NNBC,*,F,메가바이트,*,*,*,*
238,메가비트,1316,2984,4589,NNBC,*,F,메가비트,*,*,*,*
239,메가사이클,1317,3326,4589,NNBC,*,T,메가사이클,*,*,*,*
240,메가와트일,1318,3327,4589,NNBC,*,T,메가와트일,*,*,*,*
241,메가전자볼트,1319,2985,4589,NNBC,*,F,메가전자볼트,*,*,*,*
242,메가톤,1320,3328,4589,NNBC,*,T,메가톤,*,*,*,*
243,메가헤르츠,1321,2986,4589,NNBC,*,F,메가헤르츠,*,*,*,*
244,메그옴,1322,3329,4589,NNBC,*,T,메그옴,*,*,*,*
245,메브,1323,2987,4589,NNBC,*,F,메브,*,*,*,*
246,메시,1324,2988,4633,NNBC,*,F,메시,*,*,*,*
247,명,1325,3330,4034,NNBC,*,T,명,*,*,*,*
248,모,1326,2989,7073,NNBC,*,F,모,*,*,*,*
249,모금,1327,3331,4533,NNBC,*,T,모금,*,*,*,*
250,모라,1328,2990,4795,NNBC,*,F,모라,*,*,*,*
251,모르간단위,1329,2991,4589,NNBC,*,F,모르간단위,*,*,*,*
252,모숨,1330,3332,4589,NNBC,*,T,모숨,*,*,*,*
253,몰,1331,3333,6172,NNBC,*,T,몰,*,*,*,*
254,몰분자,1332,2992,4589,NNBC,*,F,몰분자,*,*,*,*
255,묘,1333,2993,5808,NNBC,*,F,묘,*,*,*,*
256,무,1334,2994,6559,NNBC,*,F,무,*,*,*,*
257,무더기,1335,2995,4765,NNBC,*,F,무더기,*,*,*,*
258,묶음,1336,3334,5110,NNBC,*,T,묶음,*,*,*,*
259,문,1337,3335,7015,NNBC,*,T,문,*,*,*,*
260,물리뢴트겐당량,1338,3336,4589,NNBC,*,T,물리뢴트겐당량,*,*,*,*
261,뭇,1339,3337,5320,NNBC,*,T,뭇,*,*,*,*
262,뭉치,1340,2996,4976,NNBC,*,F,뭉치,*,*,*,*
263,미,1341,2997,6047,NNBC,*,F,미,*,*,*,*
264,미국톤,1342,3338,4589,NNBC,*,T,미국톤,*,*,*,*
265,미크론,1343,3339,4589,NNBC,*,T,미크론,*,*,*,*
266,미터,1344,2998,4259,NNBC,*,F,미터,*,*,*,*
267,미터촉광,1345,3340,4589,NNBC,*,T,미터촉광,*,*,*,*
268,미터톤,1346,3341,4589,NNBC,*,T,미터톤,*,*,*,*
269,밀,1347,3342,5742,NNBC,*,T,밀,*,*,*,*
270,밀리,1348,2999,4563,NNBC,*,F,밀리,*,*,*,*
271,밀리갈,1349,3343,4589,NNBC,*,T,밀리갈,*,*,*,*
272,밀리그램,1350,3344,3000,NNBC,*,T,밀리그램,*,*,*,*
273,밀리뢴트겐,1351,3345,4589,NNBC,*,T,밀리뢴트겐,*,*,*,*
274,밀리리터,1352,3000,4533,NNBC,*,F,밀리리터,*,*,*,*
275,밀리몰,1353,3346,4589,NNBC,*,T,밀리몰,*,*,*,*
276,밀리미크론,1354,3347,4589,NNBC,*,T,밀리미크론,*,*,*,*
277,밀리미터,1355,3001,4589,NNBC,*,F,밀리미터,*,*,*,*
278,밀리바,1356,3002,4589,NNBC,*,F,밀리바,*,*,*,*
279,밀리볼트,1357,3003,4589,NNBC,*,F,밀리볼트,*,*,*,*
280,밀리암페어,1358,3004,4589,NNBC,*,F,밀리암페어,*,*,*,*
281,밀리와트,1359,3005,4589,NNBC,*,F,밀리와트,*,*,*,*
282,밀리퀴리,1360,3006,4589,NNBC,*,F,밀리퀴리,*,*,*,*
283,밉스,1361,3007,4589,NNBC,*,F,밉스,*,*,*,*
284,바,1362,3008,6676,NNBC,*,F,바,*,*,*,*
285,바가지,1363,3009,4112,NNBC,*,F,바가지,*,*,*,*
286,바구니,1364,3010,4697,NNBC,*,F,바구니,*,*,*,*
287,바람,1365,3348,5685,NNBC,*,T,바람,*,*,*,*
288,바이트,1366,3011,5001,NNBC,*,F,바이트,*,*,*,*
289,바퀴,1367,3012,4450,NNBC,*,F,바퀴,*,*,*,*
290,바탕,1369,3349,4938,NNBC,*,T,바탕,*,*,*,*
291,바트,1370,3013,4590,NNBC,*,F,바트,*,*,*,*
292,박,1371,3350,5978,NNBC,*,T,박,*,*,*,*
293,박자,1372,3014,5105,NNBC,*,F,박자,*,*,*,*
294,반,1373,3351,6293,NNBC,*,T,반,*,*,*,*
295,발,1374,3352,6453,NNBC,*,T,발,*,*,*,*
296,발보아,1375,3015,4589,NNBC,*,F,발보아,*,*,*,*
297,발짝,1376,3353,4535,NNBC,*,T,발짝,*,*,*,*
298,방,1377,3354,6366,NNBC,*,T,방,*,*,*,*
299,방울,1378,3355,5043,NNBC,*,T,방울,*,*,*,*
300,배,1379,3016,6128,NNBC,*,F,배,*,*,*,*
301,배럴,1380,3356,4589,NNBC,*,T,배럴,*,*,*,*
302,번,1381,3357,3521,NNBC,*,T,번,*,*,*,*
303,번수,1382,3017,4589,NNBC,*,F,번수,*,*,*,*
304,번지,1383,3018,4794,NNBC,*,F,번지,*,*,*,*
305,벌,1387,3358,4836,NNBC,*,T,벌,*,*,*,*
306,범,1388,3359,6060,NNBC,*,T,범,*,*,*,*
307,베가톤,1389,3360,4589,NNBC,*,T,베가톤,*,*,*,*
308,베브,1390,3019,4589,NNBC,*,F,베브,*,*,*,*
309,베크렐,1391,3361,4589,NNBC,*,T,베크렐,*,*,*,*
310,벨,1392,3362,5222,NNBC,*,T,벨,*,*,*,*
311,병,1393,3363,5971,NNBC,*,T,병,*,*,*,*
312,보,1394,3020,6531,NNBC,*,F,보,*,*,*,*
313,보따리,1395,3021,4487,NNBC,*,F,보따리,*,*,*,*
314,보루,1396,3022,4594,NNBC,*,F,보루,*,*,*,*
315,보메,1397,3023,4589,NNBC,*,F,보메,*,*,*,*
316,보지락,1398,3364,4589,NNBC,*,T,보지락,*,*,*,*
317,본,1399,3365,6382,NNBC,*,T,본,*,*,*,*
318,볼트,1400,3024,4577,NNBC,*,F,볼트,*,*,*,*
319,볼트암페어,1401,3025,4589,NNBC,*,F,볼트암페어,*,*,*,*
320,봉지,1402,3026,4614,NNBC,*,F,봉지,*,*,*,*
321,봉투,1403,3027,4629,NNBC,*,F,봉투,*,*,*,*
322,부,1404,3028,5309,NNBC,*,F,부,*,*,*,*
323,부대,1405,3029,4757,NNBC,*,F,부대,*,*,*,*
324,부류,1406,3030,4585,NNBC,*,F,부류,*,*,*,*
325,부셸,1407,3366,4589,NNBC,*,T,부셸,*,*,*,*
326,분,1408,3367,5461,NNBC,*,T,분,*,*,*,*
327,불,1409,3368,5561,NNBC,*,T,불,*,*,*,*
328,비르,1410,3031,4589,NNBC,*,F,비르,*,*,*,*
329,비티유,1411,3032,4589,NNBC,*,F,비티유,*,*,*,*
330,비피에스,1412,3033,4589,NNBC,*,F,비피에스,*,*,*,*
331,빌리언일렉트론볼트,1413,3034,4589,NNBC,*,F,빌리언일렉트론볼트,*,*,*,*
332,뼘,1414,3369,4437,NNBC,*,T,뼘,*,*,*,*
333,뿌리,1415,3035,4719,NNBC,*,F,뿌리,*,*,*,*
334,사람,1416,3370,5437,NNBC,*,T,사람,*,*,*,*
335,사발,1417,3371,4595,NNBC,*,T,사발,*,*,*,*
336,사이클,1418,3372,4589,NNBC,*,T,사이클,*,*,*,*
337,사탕,1419,3373,4603,NNBC,*,T,사탕,*,*,*,*
338,삭,1420,3374,5662,NNBC,*,T,삭,*,*,*,*
339,살,1421,3375,3967,NNBC,*,T,살,*,*,*,*
340,삽,1422,3376,4796,NNBC,*,T,삽,*,*,*,*
341,상자,1423,3036,4713,NNBC,*,F,상자,*,*,*,*
342,상팀,1424,3377,4589,NNBC,*,T,상팀,*,*,*,*
343,새,1425,3037,6394,NNBC,*,F,새,*,*,*,*
344,서큘러밀,1426,3378,4589,NNBC,*,T,서큘러밀,*,*,*,*
345,석,1427,3379,6108,NNBC,*,T,석,*,*,*,*
346,석유환산톤,1428,3380,4589,NNBC,*,T,석유환산톤,*,*,*,*
347,선,1429,3381,7224,NNBC,*,T,선,*,*,*,*
348,섬,1430,3382,5698,NNBC,*,T,섬,*,*,*,*
349,세,1431,3038,5653,NNBC,*,F,세,*,*,*,*
350,세대,1432,3039,5060,NNBC,*,F,세대,*,*,*,*
351,세제곱미터,1433,3040,4589,NNBC,*,F,세제곱미터,*,*,*,*
352,세제곱센티미터,1434,3041,4589,NNBC,*,F,세제곱센티미터,*,*,*,*
353,센트,1437,3042,4717,NNBC,*,F,센트,*,*,*,*
354,센티,1438,3043,4756,NNBC,*,F,센티,*,*,*,*
355,센티그램,1439,3383,3000,NNBC,*,T,센티그램,*,*,*,*
356,센티리터,1440,3044,4589,NNBC,*,F,센티리터,*,*,*,*
357,센티미터,1441,3045,4150,NNBC,*,F,센티미터,*,*,*,*
358,셀로,1442,3046,4670,NNBC,*,F,셀로,*,*,*,*
359,속,1443,3384,5996,NNBC,*,T,속,*,*,*,*
360,손,1444,3385,5993,NNBC,*,T,손,*,*,*,*
361,송이,1445,3047,4797,NNBC,*,F,송이,*,*,*,*
362,쇼트톤,1446,3386,4589,NNBC,*,T,쇼트톤,*,*,*,*
363,수,1447,3048,6960,NNBC,*,F,수,*,*,*,*
364,수은주미터,1448,3049,4589,NNBC,*,F,수은주미터,*,*,*,*
365,수은주밀리미터,1449,3050,4589,NNBC,*,F,수은주밀리미터,*,*,*,*
366,숟가락,1450,3387,4163,NNBC,*,T,숟가락,*,*,*,*
367,숟갈,1451,3388,4861,NNBC,*,T,숟갈,*,*,*,*
368,술,1452,3389,5923,NNBC,*,T,술,*,*,*,*
369,승,1453,3390,5369,NNBC,*,T,승,*,*,*,*
370,시,1454,3051,5459,NNBC,*,F,시,*,*,*,*
371,시간,1455,3391,4259,NNBC,*,T,시간,*,*,*,*
372,시버트,1456,3052,4589,NNBC,*,F,시버트,*,*,*,*
373,시시,1457,3053,4670,NNBC,*,F,시시,*,*,*,*
374,식,1458,3392,7229,NNBC,*,T,식,*,*,*,*
375,실,1459,3393,7238,NNBC,*,T,실,*,*,*,*
376,실링,1460,3394,4589,NNBC,*,T,실링,*,*,*,*
377,쌈,1461,3395,4738,NNBC,*,T,쌈,*,*,*,*
378,쌍,1462,3396,6315,NNBC,*,T,쌍,*,*,*,*
379,아르,1463,3054,5081,NNBC,*,F,아르,*,*,*,*
380,아르피엠,1464,3397,4589,NNBC,*,T,아르피엠,*,*,*,*
381,아름,1465,3398,5764,NNBC,*,T,아름,*,*,*,*
382,아보그램,1466,3399,3000,NNBC,*,T,아보그램,*,*,*,*
383,아인슈타인,1467,3400,4649,NNBC,*,T,아인슈타인,*,*,*,*
384,악장,1468,3401,4594,NNBC,*,T,악장,*,*,*,*
385,알,1469,3402,5957,NNBC,*,T,알,*,*,*,*
